Date,inadimplencia_pf,concessao_pf,saldo_credito_pf,credito_pessoal_valor_pf,credito_consignado_valor_pf,taxa_juros_media_pf,comprometimento_renda_pf,taxa_selic_mensal
2007-01-01,45.95,,,,,,18.71,1.08
2007-02-01,45.86,,,,,,18.96,0.87
2007-03-01,45.81,33310.0,490460.0,3251.0,,,19.13,1.05
2007-04-01,45.08,33734.0,505753.0,3410.0,,,19.5,0.94
2007-05-01,45.23,34258.0,514647.0,3591.0,,,19.46,1.03
2007-06-01,44.8,34784.0,525046.0,3738.0,,,19.25,0.91
2007-07-01,44.73,35213.0,541348.0,3850.0,,,19.08,0.97
2007-08-01,44.09,35839.0,559351.0,4038.0,,,19.07,0.99
2007-09-01,44.59,36290.0,571372.0,4309.0,,,19.12,0.8
2007-10-01,44.6,36923.0,586902.0,4419.0,,,19.3,0.93
2007-11-01,44.11,37597.0,607215.0,4611.0,,,19.33,0.84
2007-12-01,44.55,38534.0,627514.0,4975.0,,,18.88,0.84
2008-01-01,43.71,38882.0,637031.0,5090.0,,,18.98,0.93
2008-02-01,43.79,39193.0,650206.0,5499.0,,,19.52,0.8
2008-03-01,43.0,39900.0,675746.0,5725.0,,,20.53,0.84
2008-04-01,42.82,40785.0,694533.0,6020.0,,,21.13,0.9
2008-05-01,43.03,41832.0,714469.0,6187.0,,,21.3,0.88
2008-06-01,42.89,42979.0,730738.0,6507.0,,,20.85,0.96
2008-07-01,42.74,44562.0,747211.0,6549.0,,,20.35,1.07
2008-08-01,42.02,46183.0,765976.0,6744.0,,,20.15,1.02
2008-09-01,39.96,47918.0,794301.0,6794.0,,,20.32,1.1
2008-10-01,38.3,49192.0,814746.0,7128.0,,,20.75,1.18
2008-11-01,36.95,50713.0,825652.0,7347.0,,,20.68,1.02
2008-12-01,37.57,52070.0,833190.0,7591.0,,,20.4,1.12
2009-01-01,38.05,53536.0,828359.0,7558.0,,,20.31,1.05
2009-02-01,38.02,54838.0,826524.0,7583.0,,,20.79,0.86
2009-03-01,38.04,56159.0,834475.0,7956.0,,,21.4,0.97
2009-04-01,38.65,57714.0,838679.0,8181.0,,,21.85,0.84
2009-05-01,39.66,59652.0,847745.0,8264.0,,,22.16,0.77
2009-06-01,39.98,61897.0,854231.0,8447.0,,,22.12,0.76
2009-07-01,40.64,64436.0,852380.0,8626.0,,,21.68,0.79
2009-08-01,40.63,66952.0,861333.0,8787.0,,,21.39,0.69
2009-09-01,41.56,69460.0,870856.0,9076.0,,,21.57,0.69
2009-10-01,41.42,71224.0,879979.0,9327.0,,,22.1,0.69
2009-11-01,40.94,72013.0,892321.0,9622.0,,,22.14,0.66
2009-12-01,40.88,74365.0,902959.0,9931.0,,,21.76,0.73
2010-01-01,39.59,79094.0,904156.0,10080.0,,,21.83,0.66
2010-02-01,39.82,81393.0,912036.0,10390.0,,,22.14,0.59
2010-03-01,39.91,84292.0,922991.0,10760.0,,,22.76,0.76
2010-04-01,39.47,87217.0,931127.0,11260.0,,,23.13,0.67
2010-05-01,38.97,90366.0,946955.0,11671.0,,,23.54,0.75
2010-06-01,38.89,93594.0,961569.0,12137.0,,,23.49,0.79
2010-07-01,38.99,97345.0,969380.0,12548.0,,,22.89,0.86
2010-08-01,38.76,101091.0,982429.0,13021.0,,,22.55,0.89
2010-09-01,38.22,104759.0,1002374.0,13768.0,,,22.72,0.85
2010-10-01,37.89,107721.0,1018637.0,14319.0,,,23.09,0.81
2010-11-01,37.77,111372.0,1039882.0,14872.0,,,23.45,0.81
2010-12-01,37.98,115676.0,1055664.0,15634.0,,,23.59,0.93
2011-01-01,37.57,118492.0,1056671.0,16293.0,,,23.81,0.86
2011-02-01,37.49,121448.0,1071299.0,17249.0,,,23.91,0.84
2011-03-01,37.53,123607.0,1085864.0,18848.0,3.0,4.72,24.46,0.92
2011-04-01,37.42,126133.0,1102691.0,19528.0,3.0,4.86,24.52,0.84
2011-05-01,37.25,130938.0,1119373.0,20046.0,3.0,4.89,24.55,0.99
2011-06-01,37.08,135617.0,1135815.0,20958.0,3.0,4.9,23.96,0.96
2011-07-01,36.82,140442.0,1144393.0,21947.0,3.0,5.03,23.25,0.97
2011-08-01,36.55,148841.0,1159928.0,22951.0,3.0,4.96,23.11,1.07
2011-09-01,34.67,150729.0,1182011.0,24808.0,3.0,4.96,23.61,0.94
2011-10-01,35.65,154540.0,1190057.0,25571.0,3.0,5.06,24.53,0.88
2011-11-01,34.76,159130.0,1208449.0,26408.0,3.0,4.84,24.47,0.86
2011-12-01,34.47,163203.0,1231641.0,26952.0,3.0,4.67,24.18,0.91
2012-01-01,35.0,167520.0,1228104.0,27709.0,3.0,5.03,24.19,0.89
2012-02-01,35.15,171239.0,1235296.0,28107.0,3.0,5.09,24.46,0.75
2012-03-01,34.26,176433.0,1258914.0,28917.0,3.0,4.89,25.12,0.82
2012-04-01,33.5,180590.0,1274615.0,29581.0,3.0,4.63,25.2,0.71
2012-05-01,32.77,185265.0,1294570.0,30115.0,3.0,4.4,25.31,0.74
2012-06-01,32.78,190577.0,1316052.0,30863.0,3.0,4.34,24.72,0.64
2012-07-01,32.51,195707.0,1321059.0,31625.0,3.0,4.46,23.86,0.68
2012-08-01,32.6,201736.0,1332606.0,32718.0,3.0,4.43,23.27,0.69
2012-09-01,32.62,204130.0,1345030.0,33678.0,3.0,4.36,23.05,0.54
2012-10-01,32.44,209463.0,1355946.0,34800.0,3.0,4.41,23.25,0.61
2012-11-01,32.08,214446.0,1370568.0,35879.0,3.0,4.33,23.22,0.55
2012-12-01,32.19,220030.0,1396419.0,37054.0,3.0,4.34,23.04,0.55
2013-01-01,32.17,224987.0,1385330.0,38185.0,3.0,4.43,23.2,0.6
2013-02-01,32.59,229375.0,1388652.0,39142.0,13.0,4.52,23.48,0.49
2013-03-01,32.4,235423.0,1407650.0,40573.0,22.0,4.42,23.81,0.55
2013-04-01,32.14,241413.0,1411480.0,42167.0,34.0,4.41,23.77,0.61
2013-05-01,31.51,248091.0,1427513.0,43951.0,38.0,4.42,23.46,0.6
2013-06-01,31.19,255135.0,1441152.0,45827.0,39.0,4.66,22.9,0.61
2013-07-01,30.8,261692.0,1440294.0,47539.0,40.0,4.98,22.37,0.72
2013-08-01,30.58,268364.0,1447396.0,49456.0,41.0,4.98,22.23,0.71
2013-09-01,31.51,271582.0,1460803.0,50960.0,41.0,5.11,22.27,0.71
2013-10-01,31.62,274977.0,1461885.0,50422.0,41.0,5.39,22.51,0.81
2013-11-01,30.58,281311.0,1479322.0,51707.0,38.0,5.32,22.44,0.72
2013-12-01,30.5,287977.0,1505304.0,52753.0,35.0,5.31,22.39,0.79
2014-01-01,30.01,293834.0,1488273.0,53583.0,32.0,5.55,22.51,0.85
2014-02-01,30.36,299978.0,1489089.0,54768.0,29.0,5.73,22.89,0.79
2014-03-01,30.78,305595.0,1499654.0,55766.0,26.0,5.68,23.53,0.77
2014-04-01,30.78,311812.0,1501203.0,56835.0,23.0,5.91,23.71,0.82
2014-05-01,31.1,319799.0,1511263.0,58192.0,20.0,5.83,23.76,0.87
2014-06-01,31.48,327169.0,1522387.0,59255.0,18.0,5.95,23.53,0.82
2014-07-01,31.6,334926.0,1514625.0,60384.0,15.0,6.0,23.09,0.95
2014-08-01,32.14,342226.0,1520438.0,61567.0,19.0,5.95,22.81,0.87
2014-09-01,32.07,347656.0,1531562.0,62487.0,29.0,5.78,22.72,0.91
2014-10-01,32.22,355463.0,1535555.0,64009.0,37.0,6.1,23.0,0.95
2014-11-01,32.18,362696.0,1549029.0,65145.0,47.0,6.1,23.0,0.84
2014-12-01,32.59,370340.0,1575258.0,66666.0,54.0,6.03,22.94,0.96
2015-01-01,32.5,377360.0,1567490.0,67813.0,50.0,6.27,23.55,0.94
2015-02-01,32.3,381977.0,1567973.0,68471.0,46.0,6.3,24.27,0.82
2015-03-01,31.59,388741.0,1582361.0,68958.0,41.0,6.15,25.08,1.04
2015-04-01,32.35,396352.0,1578815.0,69924.0,37.0,6.51,25.41,0.95
2015-05-01,32.39,401139.0,1587721.0,70337.0,34.0,6.46,25.36,0.99
2015-06-01,33.23,405967.0,1599576.0,70909.0,30.0,6.49,25.12,1.07
2015-07-01,32.91,411486.0,1597375.0,71249.0,27.0,6.62,24.7,1.18
2015-08-01,32.46,416125.0,1604091.0,71871.0,24.0,6.79,24.63,1.11
2015-09-01,32.02,420067.0,1614299.0,72351.0,20.0,6.72,24.87,1.11
2015-10-01,33.06,423981.0,1606059.0,72963.0,17.0,7.16,24.63,1.11
2015-11-01,33.9,427951.0,1618058.0,73226.0,15.0,6.81,23.57,1.06
2015-12-01,35.64,432681.0,1641325.0,73104.0,12.0,6.7,22.13,1.16
2016-01-01,35.34,435102.0,1618298.0,73803.0,11.0,6.73,22.59,1.06
2016-02-01,36.28,437514.0,1606589.0,73755.0,9.0,6.91,23.27,1.0
2016-03-01,38.33,441485.0,1595951.0,73873.0,8.0,7.04,24.81,1.16
2016-04-01,38.87,441965.0,1580566.0,74032.0,7.0,7.21,24.87,1.06
2016-05-01,39.09,445502.0,1584220.0,74066.0,5.0,7.18,25.19,1.11
2016-06-01,41.35,449186.0,1573227.0,74071.0,4.0,7.12,24.86,1.16
2016-07-01,41.93,452692.0,1558136.0,74758.0,3.0,7.27,24.19,1.11
2016-08-01,42.81,456720.0,1553764.0,74797.0,3.0,7.27,23.99,1.22
2016-09-01,43.63,459995.0,1552336.0,74905.0,2.0,7.38,23.98,1.11
2016-10-01,43.88,456752.0,1547357.0,74883.0,1.0,7.42,24.08,1.05
2016-11-01,43.99,460459.0,1552006.0,74859.0,1.0,7.49,23.3,1.04
2016-12-01,46.14,466414.0,1561579.0,74735.0,0.0,7.56,22.08,1.12
2017-01-01,46.46,469077.0,1537976.0,74405.0,0.0,7.6,22.27,1.09
2017-02-01,47.26,472548.0,1535492.0,73846.0,0.0,7.64,22.86,0.87
2017-03-01,47.53,475096.0,1540450.0,73870.0,0.0,7.38,24.19,1.05
2017-04-01,47.48,478366.0,1530470.0,73559.0,0.0,7.15,23.89,0.79
2017-05-01,48.01,481950.0,1526937.0,72970.0,0.0,7.29,23.49,0.93
2017-06-01,48.44,485937.0,1537993.0,72437.0,0.0,6.99,22.93,0.81
2017-07-01,49.69,490027.0,1527105.0,72050.0,0.0,7.31,22.63,0.8
2017-08-01,50.1,493718.0,1532015.0,71434.0,0.0,7.2,22.79,0.8
2017-09-01,50.76,495936.0,1535507.0,71126.0,0.0,7.08,22.85,0.64
2017-10-01,50.54,497726.0,1542586.0,70644.0,0.0,7.27,22.82,0.64
2017-11-01,50.86,500125.0,1558949.0,70177.0,0.0,7.03,22.04,0.57
2017-12-01,51.37,502406.0,1591577.0,69523.0,0.0,6.52,20.87,0.54
2018-01-01,51.43,503669.0,1576947.0,68367.0,0.0,6.89,21.06,0.58
2018-02-01,51.58,505525.0,1574711.0,67995.0,0.0,7.02,21.9,0.47
2018-03-01,51.83,507990.0,1596854.0,67669.0,0.0,6.99,23.48,0.53
2018-04-01,51.22,510383.0,1607305.0,67335.0,0.0,6.99,23.9,0.52
2018-05-01,50.67,513025.0,1621478.0,66929.0,0.0,6.58,24.06,0.52
2018-06-01,50.71,516176.0,1643757.0,66555.0,0.0,6.58,23.61,0.52
2018-07-01,51.3,517475.0,1641920.0,67041.0,0.0,6.74,22.65,0.54
2018-08-01,50.33,518971.0,1667441.0,66712.0,0.0,6.85,22.18,0.57
2018-09-01,51.32,522061.0,1682078.0,68590.0,0.0,6.88,22.16,0.47
2018-10-01,52.42,524883.0,1686005.0,68396.0,0.0,7.04,22.47,0.54
2018-11-01,52.2,528059.0,1718343.0,67977.0,0.0,6.91,22.27,0.49
2018-12-01,52.77,531631.0,1765054.0,67332.0,0.0,6.27,21.58,0.49
2019-01-01,53.11,532326.0,1748489.0,66634.0,0.0,6.64,22.12,0.54
2019-02-01,53.1,536423.0,1757500.0,66079.0,0.0,6.89,23.1,0.49
2019-03-01,53.04,539795.0,1783149.0,65719.0,0.0,6.94,24.68,0.47
2019-04-01,53.05,542975.0,1789493.0,64846.0,0.0,7.07,25.14,0.52
2019-05-01,53.24,546586.0,1815602.0,64204.0,0.0,6.79,25.26,0.54
2019-06-01,53.82,551360.0,1839662.0,63759.0,0.0,6.8,25.6,0.47
2019-07-01,54.27,555212.0,1842226.0,63096.0,0.0,6.76,24.46,0.57
2019-08-01,53.31,557931.0,1871275.0,62490.0,0.0,6.65,24.36,0.5
2019-09-01,53.64,562436.0,1904373.0,62167.0,0.0,6.5,23.64,0.46
2019-10-01,54.11,567555.0,1914394.0,61665.0,0.0,5.88,23.8,0.48
2019-11-01,53.79,572695.0,1952272.0,61042.0,0.0,6.05,23.16,0.38
2019-12-01,54.7,577597.0,2010411.0,60653.0,0.0,5.7,21.8,0.37
2020-01-01,53.19,580346.0,1999228.0,60098.0,0.0,6.1,22.19,0.38
2020-02-01,52.54,583979.0,2018027.0,59287.0,0.0,6.23,22.9,0.29
2020-03-01,50.63,588567.0,2106765.0,59248.0,0.0,5.71,25.41,0.34
2020-04-01,51.58,594521.0,2097255.0,59284.0,0.0,5.32,24.74,0.28
2020-05-01,53.72,600847.0,2101266.0,59234.0,0.0,5.33,22.89,0.24
2020-06-01,56.24,607932.0,2114498.0,59014.0,0.0,5.26,20.58,0.21
2020-07-01,58.12,615597.0,2134848.0,58483.0,0.0,5.13,19.28,0.19
2020-08-01,58.67,623647.0,2159682.0,58566.0,0.0,4.54,19.18,0.16
2020-09-01,59.3,631178.0,2192190.0,58522.0,0.0,4.5,19.63,0.16
2020-10-01,59.15,639363.0,2224145.0,57882.0,4.0,4.88,20.8,0.16
2020-11-01,60.58,646516.0,2276084.0,58489.0,0.0,5.03,21.75,0.15
2020-12-01,61.37,654225.0,2318085.0,58585.0,0.0,4.69,21.51,0.16
2021-01-01,59.71,659002.0,2310606.0,58718.0,0.0,5.25,22.15,0.15
2021-02-01,59.5,665035.0,2330614.0,58910.0,0.0,5.23,22.58,0.13
2021-03-01,58.53,673174.0,2377118.0,59109.0,0.0,5.27,24.26,0.2
2021-04-01,57.71,680906.0,2392275.0,59550.0,0.0,5.32,23.95,0.21
2021-05-01,57.53,689481.0,2433626.0,60270.0,0.0,5.05,24.0,0.27
2021-06-01,58.43,698150.0,2465423.0,60850.0,0.0,5.01,23.15,0.31
2021-07-01,57.77,706927.0,2488809.0,61760.0,0.0,4.87,22.55,0.36
2021-08-01,57.18,716488.0,2536421.0,62983.0,0.0,5.01,23.04,0.43
2021-09-01,56.17,725223.0,2602227.0,63953.0,0.0,4.89,24.43,0.44
2021-10-01,55.21,733255.0,2654154.0,65160.0,0.0,5.19,25.77,0.49
2021-11-01,54.98,741403.0,2725121.0,66078.0,0.0,5.23,26.0,0.59
2021-12-01,55.11,749430.0,2791510.0,65671.0,0.0,5.27,24.99,0.77
2022-01-01,54.82,755139.0,2785127.0,66151.0,0.0,5.01,25.68,0.73
2022-02-01,55.45,760438.0,2819086.0,68146.0,0.0,5.18,25.75,0.76
2022-03-01,56.66,770764.0,2871262.0,69719.0,0.0,5.4,26.79,0.93
2022-04-01,56.4,773044.0,2913467.0,70728.0,0.0,5.22,26.46,0.83
2022-05-01,56.91,785534.0,2954066.0,71840.0,0.0,5.32,25.87,1.03
2022-06-01,56.03,794790.0,3004642.0,73163.0,0.0,5.37,25.54,1.02
2022-07-01,55.58,807122.0,3018228.0,74753.0,0.0,5.33,25.25,1.03
2022-08-01,56.05,813074.0,3048379.0,75064.0,0.0,5.27,25.79,1.17
2022-09-01,56.03,822358.0,3094862.0,76841.0,0.0,5.1,26.75,1.07
2022-10-01,55.97,831140.0,3118352.0,77876.0,0.0,5.19,27.67,1.02
2022-11-01,55.81,840432.0,3155270.0,79749.0,0.0,5.32,27.81,1.02
2022-12-01,56.13,848829.0,3206593.0,80618.0,0.0,5.11,26.63,1.12
2023-01-01,55.21,855407.0,3201507.0,81539.0,0.0,5.22,26.99,1.12
2023-02-01,55.71,861546.0,3186619.0,82289.0,0.0,5.34,27.51,0.92
2023-03-01,55.98,871506.0,3221196.0,83671.0,0.0,5.4,28.88,1.17
2023-04-01,55.92,879298.0,3217831.0,84726.0,0.0,5.61,28.58,0.92
2023-05-01,56.59,887018.0,3235866.0,86253.0,0.0,5.56,28.43,1.12
2023-06-01,57.78,895161.0,3248860.0,86859.0,0.0,5.55,27.44,1.07
2023-07-01,58.34,903081.0,3232937.0,87862.0,0.0,5.61,26.21,1.07
2023-08-01,58.68,911401.0,3255136.0,88868.0,0.0,5.61,25.92,1.14
2023-09-01,58.87,921044.0,3289577.0,89920.0,0.0,5.55,26.66,0.97
2023-10-01,58.85,929517.0,3289375.0,90863.0,0.0,5.47,27.6,1.0
2023-11-01,59.08,937358.0,3318226.0,91647.0,0.0,5.67,27.14,0.92
2023-12-01,60.43,946119.0,3385935.0,92622.0,0.0,5.68,24.99,0.89
2024-01-01,59.57,950709.0,3360757.0,93022.0,0.0,5.5,25.16,0.97
2024-02-01,60.36,957920.0,3366141.0,93473.0,0.0,5.58,25.61,0.8
2024-03-01,60.65,967506.0,3440122.0,95851.0,0.0,5.78,27.39,0.83
2024-04-01,60.63,976825.0,3441967.0,96539.0,0.0,5.76,26.98,0.89
2024-05-01,61.34,988145.0,3459378.0,97709.0,0.0,5.75,26.48,0.83
2024-06-01,61.42,998347.0,3526260.0,99006.0,0.0,5.74,26.08,0.79
2024-07-01,61.1,1009806.0,3533723.0,100151.0,2.0,5.91,25.44,0.91
2024-08-01,61.32,1021768.0,3563372.0,101518.0,4.0,5.74,25.83,0.87
2024-09-01,61.73,1033308.0,3622436.0,102669.0,4.0,5.69,26.45,0.84
2024-10-01,61.38,1043223.0,3643813.0,104048.0,4.0,5.82,27.22,0.93
2024-11-01,61.22,1052473.0,3702494.0,105339.0,4.0,5.92,27.04,0.79
2024-12-01,61.48,1061064.0,3766127.0,106272.0,5.0,6.09,25.98,0.93
2025-01-01,61.09,1069402.0,3746783.0,107620.0,6.0,5.94,26.42,1.01
2025-02-01,61.24,1078276.0,3770975.0,109810.0,838.0,6.22,27.04,0.99
2025-03-01,61.44,1086896.0,3811433.0,112903.0,847.0,6.18,28.84,0.96
2025-04-01,61.47,1095747.0,3826793.0,115485.0,854.0,6.2,28.43,1.06
2025-05-01,62.0,1104869.0,3854107.0,118395.0,860.0,6.14,28.32,1.14
2025-06-01,62.88,1113477.0,3869981.0,119498.0,865.0,6.32,,1.1
